股票代码,股票名称,当前价,涨跌额,涨跌幅/%,年初至今/%,成交量,成交额,换手率/%,市盈率TTM,股息率/%,市值
SH603110,东方材料,20.67,0.85,4.29,30.19,1879339,38014675,1.31,52.165,2.619,2970968965
SH603396,金辰股份,47.75,0.15,0.32,124.29,796960,37939478,1.8,83.546,0.383,5050963199
SH600343,航天动力,10,-0.08,-0.79,9.29,3732100,37754969,0.58,-64.081,0,6382063480
SH605128,上海沿浦,29.64,-0.65,-2.15,27.16,1266640,37447073,6.33,27.748,,2371200000
SH605118,力鼎光电,20.24,-0.31,-1.51,118.1,1859515,37332944,4.54,47.517,,8207320000
SH600219,南山铝业,2.35,-0.02,-0.84,7.52,15841777,37266761,0.13,16.482,2.11,28083631572
SH603855,华荣股份,19.28,0.05,0.26,99.53,1921881,37249838,0.58,28.132,2.061,6501023200
SH600075,新疆天业,7.11,0.03,0.42,40.51,5227880,37242255,0.54,-50.404,0,9667664217
SH601126,四方股份,7.01,-0.07,-0.99,30.04,5235500,36918819,0.64,27.762,2.518,5700335720
SH603535,嘉诚国际,52.37,0.62,1.2,190.41,713700,36854732,0.47,57.023,0.198,7876448000
SH603229,奥翔药业,42.23,0.28,0.67,192.15,872180,36838941,0.39,121.417,0.128,9459520000
SH603915,国茂股份,24.98,0.62,2.55,71.58,1482922,36815503,1.19,37.501,0.814,11804234052
SH603657,春光科技,20.52,0.43,2.14,18.91,1810640,36745371,4.52,25.117,1.792,2757888000
SH600966,博汇纸业,12.11,-0.14,-1.14,128.43,3016500,36739571,0.23,60.071,0.14,16189184328
SH600131,国网信通,18.47,-0.4,-2.12,-6.28,1977175,36730433,0.49,47.663,0.662,22078937228
SH603112,华翔股份,12.76,0.07,0.55,63.17,2890943,36627015,5.43,28.266,,5423000000
SH600207,安彩高科,5.61,0.14,2.56,20.13,6566211,36461450,0.76,146.114,0,4841183014
SH603583,捷昌驱动,73.5,1.15,1.59,132.66,500440,36389863,0.34,48.022,0.491,18259497029
SH600729,重庆百货,35.86,-0.06,-0.17,22.99,1004411,36252836,0.25,13.708,2.028,14578110755
SH600823,世茂股份,6.23,-0.13,-2.04,46.17,5775316,36058729,0.15,12.373,4.082,23369778266
SH601137,博威合金,13.8,-0.19,-1.36,24.37,2582700,35771680,0.36,22.464,1.238,10902620614
SH603728,鸣志电器,22,-0.04,-0.18,99.17,1607110,35749843,0.39,51.19,0.191,9152000000
SH600482,中国动力,18.04,-0.07,-0.39,-9.8,1964134,35704402,0.31,46.033,0,38978696407
SH603588,高能环境,15.21,-0.05,-0.33,60.91,2313808,35405940,0.31,25.701,0.425,12267528917
SH600337,美克家居,5.08,-0.24,-4.51,14.67,6769800,34941820,0.38,67.909,0,8975205499
SH600705,中航资本,4.54,-0.05,-1.09,-6.39,7680200,34900744,0.09,13.064,2.317,40496684807
SH603043,广州酒家,35.73,-0.55,-1.52,18.77,972112,34799555,0.24,43.58,0.828,14434783654
SH603596,伯特利,36.87,-0.01,-0.03,64.33,935127,34795146,0.55,39.792,0.269,15063644070
SH603053,成都燃气,15.21,0.02,0.13,-20.48,2299400,34741172,2.59,32.638,1.62,13520016900
SH603950,长源东谷,26.6,0.35,1.33,75.5,1308753,34587771,2.26,18.492,4.547,6158485200
SH603950,长源东谷,26.6,0.35,1.33,75.5,1308753,34587771,2.26,18.492,4.547,6158485200
SH603960,克来机电,44.5,0.5,1.14,94.44,765094,34463903,0.3,92.99,0.259,11612030250
SH603187,海容冷链,53.72,1.12,2.13,134.42,646640,34371063,0.55,36.479,0.82,8513545600
SH603595,东尼电子,27.25,-1.04,-3.68,5.58,1239600,34113803,0.84,-102.206,0,5802212872
SH603906,龙蟠科技,27.11,-0.91,-3.25,160.56,1241484,34024107,0.41,51.922,0.46,8203373222
SH600256,广汇能源,2.99,0.01,0.34,-9.67,11311695,33936901,0.17,13.916,0,20312837000
SH603808,歌力思,16.32,0.11,0.68,11.71,2071840,33927782,0.62,12.719,1.545,5426654772
SH600022,山东钢铁,1.37,-0.01,-0.72,-4.2,24746000,33909335,0.23,43.221,0,14996772974
SH603848,好太太,14.99,-0.61,-3.91,10.06,2239700,33901279,3.15,24.297,1.605,6010990000
SH601618,中国中冶,2.69,-0.03,-1.1,-1.42,12533900,33896407,0.07,7.924,2.647,55746535567
SH603279,景津环保,22.11,0.19,0.87,6.41,1540736,33820366,0.81,21.958,2.732,8844773850
SH603590,康辰药业,41.25,-0.11,-0.27,19.79,818300,33762110,0.98,30.05,1.209,6600000000
SH600535,天士力,17.46,-0.1,-0.57,15.82,1908067,33408036,0.13,33.479,1.879,26411152358
SH601727,上海电气,5.27,-0.06,-1.13,5.82,6305800,33333523,0.06,25.191,0,79870232460
SH600797,浙大网新,8.86,-0.14,-1.56,-11.72,3743847,33304763,0.36,112.406,0.341,9103890124
SH600831,广电网络,7.73,-0.12,-1.53,-16.52,4199900,32636424,0.59,-35.673,0,5491836715
SH601882,海天精工,13.25,0.43,3.35,83.78,2476200,32572877,0.47,72.817,0.351,6916500000
SH600399,ST抚钢,7.35,-0.1,-1.34,122.73,4381500,32397147,0.22,40.281,0,14494935000
SH601916,浙商银行,4.21,-0.03,-0.71,-7.52,7631300,32242591,0.3,7.356,5.66,89541213435
SH600359,新农开发,8.76,0,0,60.15,3645500,32088202,0.96,594.182,0,3342052303
SH601388,怡球资源,2.27,-0.05,-2.16,18.48,14056296,32033632,0.69,27.441,0.693,4997918215
SH600889,南京化纤,6.99,-0.23,-3.19,51.3,4554415,31899349,1.35,-16.009,0,2560758610
